App ID,Name,Price,Genres,User Reviews,Positive Reviews,Negative Reviews,Owners,Average Playtime,Median Playtime,Developer,Publisher
2131690,Kindred Spirits on the Roof Drama CD Vol.1 - Playing Girlfriends,999.0,Adventure,0,0,0,0 .. 20000,0,0,Liar-soft,MangaGamer
2131310,Sackboy Pre-Purchase Entitlements,0.0,,0,0,0,0 .. 20000,0,0,,
2131960,RunBean Galactic,199.0,"Action, Indie",22,22,0,0 .. 20000,0,0,Khud0,Khud0
2131680,METAL GEAR & METAL GEAR 2: Solid Snake,1999.0,Action,497,415,82,20000 .. 50000,652,1304,KONAMI,KONAMI
2131540,Early-blooming black lily Perfect Sound Track,999.0,,0,0,0,0 .. 20000,0,0,1000-REKA,1000-REKA
2131980,Lamp Simulator,99.0,Simulation,3,3,0,0 .. 20000,0,0,Vormir Games,Vormir Games
2131300,,0.0,,0,0,0,0 .. 20000,0,0,,
2131530,Lewd Guest,0.0,,0,0,0,0 .. 20000,0,0,,
2131290,Iron Frontier,0.0,,0,0,0,0 .. 20000,0,0,,
2131920,Super Hamster Ball,399.0,Casual,6,6,0,0 .. 20000,0,0,IKINAGAMES,IKINAGAMES
2131640,METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version,1999.0,Action,2028,1713,315,20000 .. 50000,516,465,KONAMI,KONAMI
2131520,Bottle,399.0,"Casual, Indie",0,0,0,0 .. 20000,0,0,Pixel Prime,Pixel Prime
2131280,Ancient,0.0,,0,0,0,0 .. 20000,0,0,,
2131860,Ashfall,0.0,,0,0,0,0 .. 20000,0,0,,
2132540,Mr. Run and Jump,2499.0,"Action, Indie",77,70,7,0 .. 20000,0,0,"Graphite Lab, Heavy Horse Games",Atari
2131510,Distorted Echos,0.0,,0,0,0,0 .. 20000,0,0,,
2132570,Total Factory,1499.0,"Casual, Indie, Simulation, Strategy",14,9,5,0 .. 20000,0,0,Total Craft Games,Total Craft Games
2132460,Mr. Healer,499.0,RPG,8,8,0,0 .. 20000,0,0,Ovenproof Games,Ovenproof Games
2131840,Thelos,99.0,"Adventure, Indie, Early Access",3,3,0,0 .. 20000,0,0,Stefan Videv,Stefan Videv
2131260,Magnetism,499.0,"Action, Casual, Indie, Strategy",2,1,1,0 .. 20000,0,0,Tail House,Tail House
2130720,Contrast & Girls - Artbook 18+,99.0,"Casual, Indie",0,0,0,0 .. 20000,0,0,IR Studio,IR Studio
2131630,METAL GEAR SOLID - Master Collection Version,1999.0,Action,2860,2173,687,100000 .. 200000,662,750,KONAMI,KONAMI
